Date,Open,High,Low,Close,Adj Close,Volume
2002-03-14,63.900002,64.690002,63.700001,64.379997,38.838322,7572700
2002-03-15,64.800003,65.470001,64.449997,64.599998,38.971020,13573000
2002-03-18,64.699997,65.150002,64.300003,64.660004,39.007225,8274600
2002-03-19,64.750000,65.699997,64.699997,65.489998,39.507923,6706300
2002-03-20,65.489998,65.489998,64.339996,64.489998,38.904671,7227800
2002-03-21,64.300003,64.980003,63.689999,64.800003,39.091671,6192500
2002-03-22,64.550003,65.379997,64.370003,64.849998,39.121841,5583600
2002-03-25,64.849998,65.889999,64.349998,64.349998,38.820210,6519100
2002-03-26,64.550003,65.139999,64.360001,64.709999,39.037376,6034100
2002-03-27,64.949997,65.470001,64.820000,65.139999,39.296791,6347900
2002-03-28,65.139999,65.500000,64.830002,64.949997,39.182152,5604700
2002-04-01,64.199997,65.290001,64.150002,64.610001,38.977058,8185800
2002-04-02,64.400002,65.040001,64.160004,64.449997,38.880539,5218200
2002-04-03,64.699997,64.800003,63.799999,64.019997,38.621140,6996500
2002-04-04,63.520000,64.250000,63.020000,63.480000,38.295368,8472200
2002-04-05,63.480000,63.730000,62.799999,63.049999,38.035957,7208300
2002-04-08,62.799999,63.540001,62.549999,63.380001,38.235035,6099300
2002-04-09,63.740002,63.799999,62.910000,63.000000,38.005795,7770700
2002-04-10,62.910000,63.500000,62.799999,63.439999,38.271229,7254400
2002-04-11,63.240002,63.689999,62.700001,62.700001,37.824814,7491900
2002-04-12,62.700001,62.849998,61.900002,62.669998,37.806713,6372500
2002-04-15,63.099998,63.200001,61.779999,62.160000,37.499046,6677300
2002-04-16,63.000000,63.950001,62.020000,63.259998,38.162643,9999000
2002-04-17,62.799999,63.470001,62.060001,62.520000,37.716225,9971400
2002-04-18,62.520000,64.489998,62.400002,64.290001,38.783989,8094900
2002-04-19,64.699997,64.750000,64.099998,64.489998,38.904671,6608500
2002-04-22,64.209999,64.339996,63.070000,63.340000,38.210915,7123600
2002-04-23,63.590000,63.950001,62.709999,62.799999,37.885143,6699100
2002-04-24,63.189999,64.830002,63.130001,63.610001,38.373791,6929700
2002-04-25,63.450001,64.400002,63.299999,63.400002,38.247074,6789100
2002-04-26,63.240002,64.440002,63.150002,63.610001,38.373791,5438400
2002-04-29,63.299999,63.900002,62.910000,62.910000,37.951488,6343300
2002-04-30,62.919998,64.300003,62.830002,63.860001,38.524601,8313800
2002-05-01,63.970001,64.629997,63.869999,63.950001,38.578903,7117100
2002-05-02,63.750000,64.199997,63.549999,64.199997,38.729713,5380500
2002-05-03,64.080002,64.169998,63.049999,63.430000,38.265205,6039500
2002-05-06,63.650002,63.930000,62.049999,62.099998,37.462852,5620600
2002-05-07,62.099998,62.299999,60.230000,60.419998,36.449368,12821700
2002-05-08,60.580002,61.230000,59.160000,60.900002,36.738934,12847100
2002-05-09,60.750000,61.880001,60.540001,61.369999,37.022465,6005600
2002-05-10,61.099998,62.660000,61.099998,61.849998,37.312035,5920600
2002-05-13,61.770000,62.599998,61.400002,61.840000,37.305988,6086000
2002-05-14,61.250000,61.450001,60.209999,61.040001,36.823391,11451100
2002-05-15,60.279999,60.750000,60.000000,60.240002,36.340775,9889700
2002-05-16,60.480000,60.849998,60.250000,60.549999,36.527794,7215100
2002-05-17,59.700001,61.599998,59.700001,61.470001,37.208771,6402100
2002-05-20,61.470001,61.470001,60.200001,60.450001,36.591343,6951500
2002-05-21,60.650002,61.169998,60.520000,60.639999,36.706364,5296300
2002-05-22,61.900002,62.590000,61.279999,62.000000,37.529583,9556600
2002-05-23,62.000000,62.400002,61.099998,61.750000,37.378269,9079300
2002-05-24,61.750000,62.119999,61.230000,61.400002,37.166405,5640200
2002-05-28,61.349998,61.599998,61.049999,61.209999,37.051392,5106500
2002-05-29,61.459999,61.650002,61.250000,61.360001,37.142185,4892400
2002-05-30,60.650002,61.840000,60.619999,61.369999,37.148243,7590400
2002-05-31,61.630001,62.189999,61.330002,61.349998,37.136127,5661300
2002-06-03,61.099998,61.740002,60.000000,60.049999,36.349236,6301700
2002-06-04,59.500000,59.930000,58.790001,59.400002,35.955757,10291000
2002-06-05,59.180000,59.750000,58.810001,59.610001,36.082886,6962200
2002-06-06,59.860001,59.990002,58.349998,58.750000,35.562298,6153800
2002-06-07,57.900002,58.660000,57.730000,58.310001,35.295975,8501800
2002-06-10,58.560001,59.470001,58.150002,59.000000,35.713638,5136700
2002-06-11,58.750000,58.750000,56.990002,57.490002,34.799610,8911200
2002-06-12,57.849998,57.980000,56.200001,57.240002,34.648277,8400400
2002-06-13,56.650002,58.279999,56.549999,57.410000,34.751194,6887100
2002-06-14,57.000000,57.630001,56.310001,56.820000,34.394051,8495000
2002-06-17,56.810001,57.639999,56.709999,57.450001,34.775402,5789700
2002-06-18,57.000000,57.250000,56.139999,56.459999,34.176140,9990800
2002-06-19,56.099998,56.950001,56.070000,56.369999,34.121655,9376000
2002-06-20,55.900002,56.250000,54.930000,55.040001,33.316589,10125100
2002-06-21,54.250000,54.849998,52.500000,53.000000,32.081749,19734200
2002-06-24,53.099998,54.820000,52.150002,54.130001,32.765759,10291000
2002-06-25,54.540001,55.299999,53.020000,53.340000,32.287544,9529700
2002-06-26,52.099998,54.700001,52.000000,54.139999,32.771816,10219700
2002-06-27,54.139999,54.480000,53.200001,54.410000,32.935234,9805300
2002-06-28,53.849998,54.330002,52.250000,52.259998,31.633808,14696800
2002-07-01,51.700001,52.250000,50.259998,50.500000,30.568455,11162500
2002-07-02,51.349998,52.000000,50.549999,51.610001,31.240349,13270100
2002-07-03,52.000000,53.099998,51.549999,52.950001,32.051476,9639300
2002-07-05,52.950001,54.849998,52.790001,54.590000,33.044193,4462400
2002-07-08,54.599998,54.750000,53.450001,53.580002,32.432831,9284600
2002-07-09,53.680000,54.000000,52.099998,52.619999,31.851719,9961700
2002-07-10,52.099998,52.099998,49.790001,50.299999,30.447405,16242700
2002-07-11,49.099998,51.150002,49.099998,50.980000,30.859005,15809200
2002-07-12,51.380001,51.380001,49.439999,50.500000,30.568455,9013200
2002-07-15,49.500000,49.689999,45.560001,49.000000,29.660484,20573100
2002-07-16,49.400002,51.849998,48.799999,50.099998,30.326321,13834600
2002-07-17,51.700001,52.299999,50.110001,51.240002,31.016397,9856000
2002-07-18,50.820000,51.349998,49.549999,49.730000,30.102350,10158700
2002-07-19,41.500000,44.099998,41.450001,41.849998,25.332470,50702400
2002-07-22,41.599998,43.599998,41.400002,42.529999,25.744085,26346200
2002-07-23,43.099998,45.700001,42.900002,44.080002,26.682327,20166800
2002-07-24,44.160000,48.799999,44.000000,47.700001,28.873566,21613600
2002-07-25,47.650002,49.950001,46.849998,48.700001,29.478886,14378200
2002-07-26,49.450001,49.700001,48.400002,49.610001,30.029715,10629900
2002-07-29,50.000000,51.400002,48.900002,51.259998,31.028500,14282100
2002-07-30,50.549999,52.000000,50.200001,50.939999,30.834793,15269400
2002-07-31,50.849998,53.000000,49.450001,52.599998,31.839624,16838000
2002-08-01,53.000000,53.009998,51.200001,51.419998,31.125347,11427200
2002-08-02,52.099998,53.490002,51.410000,52.250000,31.627756,10881400
2002-08-05,52.500000,52.500000,49.750000,50.099998,30.326321,9156700
2002-08-06,50.750000,52.400002,50.700001,51.080002,30.919535,7914300
2002-08-07,51.500000,52.540001,50.970001,52.509998,31.785143,9141000
2002-08-08,52.930000,54.779999,52.200001,54.570000,33.032093,9260200
2002-08-09,54.099998,54.980000,53.400002,54.509998,32.995777,6758600
2002-08-12,53.900002,54.950001,53.400002,54.580002,33.038143,5477200
2002-08-13,54.099998,54.950001,53.299999,53.369999,32.305702,6109900
2002-08-14,53.490002,55.500000,52.520000,55.500000,33.595024,8291800
2002-08-15,56.000000,56.490002,55.380001,55.970001,33.879536,8894600
2002-08-16,55.990002,56.270000,55.150002,55.320000,33.609184,7837000
2002-08-19,55.009998,56.380001,55.000000,55.900002,33.961544,6412600
2002-08-20,55.400002,55.730000,54.330002,54.900002,33.354012,6432000
2002-08-21,55.290001,55.880001,53.549999,54.889999,33.347927,8392800
2002-08-22,55.099998,56.389999,54.750000,56.200001,34.143803,5719100
2002-08-23,56.200001,56.349998,54.500000,54.820000,33.305408,4753800
2002-08-26,54.990002,55.820000,54.299999,55.709999,33.846127,4402400
2002-08-27,55.939999,56.500000,54.369999,54.750000,33.262875,5939300
2002-08-28,54.500000,54.869999,54.000000,54.360001,33.025955,5038700
2002-08-29,53.849998,54.669998,53.650002,54.160000,32.904430,5092100
2002-08-30,53.570000,54.919998,53.419998,54.310001,32.995560,5920800
2002-09-03,53.880001,54.150002,52.520000,52.680000,32.005260,8362000
2002-09-04,53.250000,54.660000,52.900002,54.340000,33.013790,8110000
2002-09-05,54.340000,54.970001,53.349998,54.419998,33.062393,6751900
2002-09-06,55.099998,55.189999,54.500000,54.919998,33.366165,5497900
2002-09-09,54.250000,55.709999,54.200001,55.200001,33.536263,7212600
2002-09-10,55.349998,55.500000,54.650002,55.389999,33.651714,5240400
2002-09-11,56.250000,56.250000,55.450001,55.480000,33.706367,3514300
2002-09-12,54.500000,54.900002,53.720001,53.970001,32.788994,6020300
