,Date,Open,High,Low,Close,Adj Close,Volume,dias_da_semana,dia_ou_noite
103,2002-05-31,61.630001,62.189999,61.330002,61.349998,37.136127,5661300,4,noite
104,2002-06-03,61.099998,61.740002000000004,60.0,60.049999,36.349236,6301700,0,noite
105,2002-06-04,59.5,59.93,58.790001000000004,59.400002,35.955757,10291000,1,noite
106,2002-06-05,59.18,59.75,58.810001,59.610001000000004,36.082886,6962200,2,noite
107,2002-06-06,59.860001000000004,59.990002000000004,58.349998,58.75,35.562298,6153800,3,noite
108,2002-06-07,57.900002,58.66,57.73,58.310001,35.295975,8501800,4,noite
109,2002-06-10,58.560001,59.470001,58.150002,59.0,35.713638,5136700,0,noite
110,2002-06-11,58.75,58.75,56.990002000000004,57.490002000000004,34.799609999999994,8911200,1,noite
111,2002-06-12,57.849998,57.98,56.200001,57.240002000000004,34.648277,8400400,2,noite
112,2002-06-13,56.650002,58.279999,56.549999,57.41,34.751194,6887100,3,noite
113,2002-06-14,57.0,57.630001,56.310001,56.82,34.394051,8495000,4,noite
114,2002-06-17,56.810001,57.639998999999996,56.709998999999996,57.450001,34.775402,5789700,0,noite
115,2002-06-18,57.0,57.25,56.139998999999996,56.459998999999996,34.176140000000004,9990800,1,noite
116,2002-06-19,56.099998,56.950001,56.07,56.369999,34.121655,9376000,2,noite
117,2002-06-20,55.900002,56.25,54.93,55.040001000000004,33.316589,10125100,3,noite
118,2002-06-21,54.25,54.849998,52.5,53.0,32.081749,19734200,4,noite
119,2002-06-24,53.099998,54.82,52.150002,54.130001,32.765759,10291000,0,noite
120,2002-06-25,54.540001000000004,55.299999,53.02,53.34,32.287544,9529700,1,noite
121,2002-06-26,52.099998,54.700001,52.0,54.139998999999996,32.771815999999994,10219700,2,noite
122,2002-06-27,54.139998999999996,54.48,53.200001,54.41,32.935234,9805300,3,noite
123,2002-06-28,53.849998,54.330002,52.25,52.259997999999996,31.633808000000002,14696800,4,noite
124,2002-07-01,51.700001,52.25,50.259997999999996,50.5,30.568455,11162500,0,noite
125,2002-07-02,51.349998,52.0,50.549999,51.610001000000004,31.240349,13270100,1,noite
126,2002-07-03,52.0,53.099998,51.549999,52.950001,32.051476,9639300,2,noite
127,2002-07-05,52.950001,54.849998,52.790001000000004,54.59,33.044193,4462400,4,noite
128,2002-07-08,54.599998,54.75,53.450001,53.580002,32.432831,9284600,0,noite
